id,base_model
TheBloke/Code-290k-13B-GGUF,ajibawa-2023/Code-290k-13B
TheBloke/Code-290k-13B-AWQ,ajibawa-2023/Code-290k-13B
TheBloke/Code-290k-13B-GPTQ,ajibawa-2023/Code-290k-13B
bartowski/Code-290k-13B-exl2,ajibawa-2023/Code-290k-13B
bartowski/Code-290k-6.7B-Instruct-exl2,ajibawa-2023/Code-290k-6.7B-Instruct
RichardErkhov/ajibawa-2023_-_Code-290k-6.7B-Instruct-gguf,ajibawa-2023/Code-290k-6.7B-Instruct/
TheBloke/Code-33B-GGUF,ajibawa-2023/Code-33B
TheBloke/Code-33B-AWQ,ajibawa-2023/Code-33B
TheBloke/Code-33B-GPTQ,ajibawa-2023/Code-33B
bartowski/Code-Llama-3-8B-exl2,ajibawa-2023/Code-Llama-3-8B
bartowski/Code-Llama-3-8B-GGUF,ajibawa-2023/Code-Llama-3-8B
solidrust/Code-Llama-3-8B-AWQ,ajibawa-2023/Code-Llama-3-8B
RichardErkhov/ajibawa-2023_-_Code-Llama-3-8B-gguf,ajibawa-2023/Code-Llama-3-8B/
bartowski/Code-Mistral-7B-GGUF,ajibawa-2023/Code-Mistral-7B
bartowski/Code-Mistral-7B-exl2,ajibawa-2023/Code-Mistral-7B
RichardErkhov/ajibawa-2023_-_Code-Mistral-7B-gguf,ajibawa-2023/Code-Mistral-7B/
bartowski/General-Stories-Mistral-7B-exl2,ajibawa-2023/General-Stories-Mistral-7B
bartowski/General-Stories-Mistral-7B-GGUF,ajibawa-2023/General-Stories-Mistral-7B
bartowski/OpenHermes-2.5-Code-290k-13B-exl2,ajibawa-2023/OpenHermes-2.5-Code-290k-13B
RichardErkhov/ajibawa-2023_-_OpenHermes-2.5-Code-290k-13B-gguf,ajibawa-2023/OpenHermes-2.5-Code-290k-13B/
TheBloke/Scarlett-13B-GPTQ,ajibawa-2023/scarlett-13b
TheBloke/Scarlett-13B-GGML,ajibawa-2023/scarlett-13b
TheBloke/scarlett-33B-GPTQ,ajibawa-2023/scarlett-33b
TheBloke/scarlett-33B-GGML,ajibawa-2023/scarlett-33b
TheBloke/Scarlett-7B-GGML,ajibawa-2023/scarlett-7b
TheBloke/Scarlett-7B-GPTQ,ajibawa-2023/scarlett-7b
TheBloke/Scarlett-7B-GGUF,ajibawa-2023/scarlett-7b
bartowski/Scarlett-Llama-3-8B-GGUF,ajibawa-2023/Scarlett-Llama-3-8B
bartowski/Scarlett-Llama-3-8B-exl2,ajibawa-2023/Scarlett-Llama-3-8B
bartowski/Scarlett-Llama-3-8B-v1.0-exl2,ajibawa-2023/Scarlett-Llama-3-8B-v1.0
bartowski/Scarlett-Llama-3-8B-v1.0-GGUF,ajibawa-2023/Scarlett-Llama-3-8B-v1.0
TheBloke/SlimOrca-13B-GGUF,ajibawa-2023/SlimOrca-13B
TheBloke/SlimOrca-13B-AWQ,ajibawa-2023/SlimOrca-13B
TheBloke/SlimOrca-13B-GPTQ,ajibawa-2023/SlimOrca-13B
cgus/SlimOrca-13B-exl2,ajibawa-2023/SlimOrca-13B
bartowski/SlimOrca-13B-exl2,ajibawa-2023/SlimOrca-13B
bartowski/SlimOrca-Llama-3-8B-exl2,ajibawa-2023/SlimOrca-Llama-3-8B
bartowski/SlimOrca-Llama-3-8B-GGUF,ajibawa-2023/SlimOrca-Llama-3-8B
RichardErkhov/ajibawa-2023_-_SlimOrca-Llama-3-8B-gguf,ajibawa-2023/SlimOrca-Llama-3-8B/
TheBloke/Uncensored-Frank-13b-GGUF,ajibawa-2023/Uncensored-Frank-13b
TheBloke/Uncensored-Frank-13b-AWQ,ajibawa-2023/Uncensored-Frank-13b
TheBloke/Uncensored-Frank-13b-GPTQ,ajibawa-2023/Uncensored-Frank-13b
TheBloke/Uncensored-Frank-33b-GPTQ,ajibawa-2023/Uncensored-Frank-33b
TheBloke/Uncensored-Frank-33b-GGUF,ajibawa-2023/Uncensored-Frank-33b
TheBloke/Uncensored-Frank-33b-AWQ,ajibawa-2023/Uncensored-Frank-33b
TheBloke/Uncensored-Frank-7B-AWQ,ajibawa-2023/Uncensored-Frank-7B
TheBloke/Uncensored-Frank-7B-GGUF,ajibawa-2023/Uncensored-Frank-7B
TheBloke/Uncensored-Frank-7B-GPTQ,ajibawa-2023/Uncensored-Frank-7B
bartowski/Uncensored-Frank-Llama-3-8B-exl2,ajibawa-2023/Uncensored-Frank-Llama-3-8B
bartowski/Uncensored-Frank-Llama-3-8B-GGUF,ajibawa-2023/Uncensored-Frank-Llama-3-8B
solidrust/Uncensored-Frank-Llama-3-8B-AWQ,ajibawa-2023/Uncensored-Frank-Llama-3-8B
RichardErkhov/ajibawa-2023_-_Uncensored-Frank-Llama-3-8B-gguf,ajibawa-2023/Uncensored-Frank-Llama-3-8B/
TheBloke/Uncensored-Jordan-13B-GGUF,ajibawa-2023/Uncensored-Jordan-13B
TheBloke/Uncensored-Jordan-13B-AWQ,ajibawa-2023/Uncensored-Jordan-13B
TheBloke/Uncensored-Jordan-13B-GPTQ,ajibawa-2023/Uncensored-Jordan-13B
RichardErkhov/ajibawa-2023_-_Uncensored-Jordan-13B-gguf,ajibawa-2023/Uncensored-Jordan-13B/
TheBloke/Uncensored-Jordan-33B-GGUF,ajibawa-2023/Uncensored-Jordan-33B
TheBloke/Uncensored-Jordan-33B-AWQ,ajibawa-2023/Uncensored-Jordan-33B
TheBloke/Uncensored-Jordan-33B-GPTQ,ajibawa-2023/Uncensored-Jordan-33B
TheBloke/Uncensored-Jordan-7B-GGUF,ajibawa-2023/Uncensored-Jordan-7B
TheBloke/Uncensored-Jordan-7B-GPTQ,ajibawa-2023/Uncensored-Jordan-7B
TheBloke/Uncensored-Jordan-7B-AWQ,ajibawa-2023/Uncensored-Jordan-7B
bartowski/WikiHow-Mistral-Instruct-7B-GGUF,ajibawa-2023/WikiHow-Mistral-Instruct-7B
bartowski/WikiHow-Mistral-Instruct-7B-exl2,ajibawa-2023/WikiHow-Mistral-Instruct-7B
RichardErkhov/ajibawa-2023_-_WikiHow-Mistral-Instruct-7B-gguf,ajibawa-2023/WikiHow-Mistral-Instruct-7B/
bartowski/Young-Children-Storyteller-Mistral-7B-exl2,ajibawa-2023/Young-Children-Storyteller-Mistral-7B
bartowski/Young-Children-Storyteller-Mistral-7B-GGUF,ajibawa-2023/Young-Children-Storyteller-Mistral-7B
RichardErkhov/ajibawa-2023_-_Young-Children-Storyteller-Mistral-7B-gguf,ajibawa-2023/Young-Children-Storyteller-Mistral-7B/
RichardErkhov/akahana_-_gpt2-indonesia-8bits,akahana/gpt2-indonesia/
RichardErkhov/akahana_-_gpt2-indonesia-4bits,akahana/gpt2-indonesia/
RichardErkhov/akash4552_-_gemma-2b-it-3500finetuned-gguf,akash4552/gemma-2b-it-3500finetuned/
RichardErkhov/akash4552_-_gemma-2b-it-3500finetuned-awq,akash4552/gemma-2b-it-3500finetuned/
RichardErkhov/akdeniz27_-_roberta-base-cuad-4bits,akdeniz27/roberta-base-cuad/
RichardErkhov/akdeniz27_-_roberta-base-cuad-8bits,akdeniz27/roberta-base-cuad/
RichardErkhov/akhooli_-_gpt2-small-arabic-gguf,akhooli/gpt2-small-arabic/
RichardErkhov/akhooli_-_gpt2-small-arabic-4bits,akhooli/gpt2-small-arabic/
RichardErkhov/akhooli_-_gpt2-small-arabic-8bits,akhooli/gpt2-small-arabic/
RichardErkhov/AkiGogikar_-_KnowledgeNinja-LiteLlama-460Mx6MoE-1T-4bits,AkiGogikar/KnowledgeNinja-LiteLlama-460Mx6MoE-1T/
RichardErkhov/AkiGogikar_-_KnowledgeNinja-LiteLlama-460Mx6MoE-1T-8bits,AkiGogikar/KnowledgeNinja-LiteLlama-460Mx6MoE-1T/
RichardErkhov/akineAItech_-_kagemusya-7B-v1.5-gguf,akineAItech/kagemusya-7B-v1.5/
TheBloke/Arithmo-Mistral-7B-GGUF,akjindal53244/Arithmo-Mistral-7B
TheBloke/Arithmo-Mistral-7B-GPTQ,akjindal53244/Arithmo-Mistral-7B
TheBloke/Arithmo-Mistral-7B-AWQ,akjindal53244/Arithmo-Mistral-7B
2x/Llama-3.1-Storm-8B-Arm-AArch64-GGUF,akjindal53244/Llama-3.1-Storm-8B
legraphista/Llama-3.1-Storm-8B-IMat-GGUF,akjindal53244/Llama-3.1-Storm-8B
LlamaFactoryAI/cv-job-description-matching,akjindal53244/Llama-3.1-Storm-8B
bartowski/Llama-3.1-Storm-8B-GGUF,akjindal53244/Llama-3.1-Storm-8B
RichardErkhov/akjindal53244_-_Llama-3.1-Storm-8B-gguf,akjindal53244/Llama-3.1-Storm-8B/
RichardErkhov/akoksal_-_LongForm-OPT-125M-awq,akoksal/LongForm-OPT-125M/
janhq/fused_model_test_llama3_on-GGUF,alandao/fused_model_test_llama3_on
NamCyan/albert-base-technical-debt-code-tesoro,albert/albert-base-v2
RichardErkhov/alchemonaut_-_BoreanGale-70B-gguf,alchemonaut/BoreanGale-70B/
RichardErkhov/alchemonaut_-_QuartetAnemoi-70B-t0.0001-gguf,alchemonaut/QuartetAnemoi-70B-t0.0001/
RichardErkhov/ale-bay_-_zephyr-2b-gemma-dft-gguf,ale-bay/zephyr-2b-gemma-dft/
RichardErkhov/ale-bay_-_zephyr-2b-gemma-sft-dpo-gguf,ale-bay/zephyr-2b-gemma-sft-dpo/
RichardErkhov/AlekseyKorshuk_-_WizardCoder-1B-V1.0-dpo-beta-0.01-awq,AlekseyKorshuk/WizardCoder-1B-V1.0-dpo-beta-0.01/
MaziyarPanahi/DarkCamelot_2-GGUF,Aleteian/DarkCamelot_2
RichardErkhov/alex64noh_-_gemma-2b-finetuned-model-llama-factory2-gguf,alex64noh/gemma-2b-finetuned-model-llama-factory2/
RichardErkhov/AlexandrosChariton_-_SarcasMLL-1B-awq,AlexandrosChariton/SarcasMLL-1B/
RichardErkhov/AlexandrosChariton_-_SarcasMLL-1B-gguf,AlexandrosChariton/SarcasMLL-1B/
bartowski/NightyGurps-14b-v1.1-GGUF,AlexBefest/NightyGurps-14b-v1.1
RichardErkhov/AlexBefest_-_WoonaV1.2-9b-gguf,AlexBefest/WoonaV1.2-9b/
RichardErkhov/alexredna_-_TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-awq,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo/
RichardErkhov/alexredna_-_TinyLlama-1.1B-Chat-v1.0-reasoning-v2-gguf,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2/
RichardErkhov/alexredna_-_TinyLlama-1.1B-Chat-v1.0-reasoning-v2-8bits,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2/
RichardErkhov/alexredna_-_TinyLlama-1.1B-Chat-v1.0-reasoning-v2-4bits,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2/
RichardErkhov/alexredna_-_Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16-gguf,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16/
RichardErkhov/alexredna_-_Tukan-1.1B-Chat-reasoning-sft-COLA-awq,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA/
RichardErkhov/alexshengzhili_-_phi3-dpo_0907_preference_iclr2023-gguf,alexshengzhili/phi3-dpo_0907_preference_iclr2023/
RichardErkhov/alexsherstinsky_-_Mistral-7B-v0.1-sharded-gguf,alexsherstinsky/Mistral-7B-v0.1-sharded/
RichardErkhov/alexsherstinsky_-_Mistral-7B-v0.1-sharded-4bits,alexsherstinsky/Mistral-7B-v0.1-sharded/
RichardErkhov/alexsherstinsky_-_Mistral-7B-v0.1-sharded-8bits,alexsherstinsky/Mistral-7B-v0.1-sharded/
RichardErkhov/AlexWortega_-_tini_llama_full-gguf,AlexWortega/tini_llama_full/
RichardErkhov/AlexWortega_-_tini_llama_full-awq,AlexWortega/tini_llama_full/
RichardErkhov/AlexWortega_-_wortegaLM-1b-awq,AlexWortega/wortegaLM-1b/
bartowski/Q25-1.5B-VeoLu-GGUF,Alfitaria/Q25-1.5B-VeoLu
RichardErkhov/alfredplpl_-_gemma-2b-it-ja-poc-gguf,alfredplpl/gemma-2b-it-ja-poc/
RichardErkhov/alfredplpl_-_ja-aozora-wikipedia-gemmba-2b-awq,alfredplpl/ja-aozora-wikipedia-gemmba-2b/
RichardErkhov/alfredplpl_-_Llama-3-8B-Instruct-Ja-gguf,alfredplpl/Llama-3-8B-Instruct-Ja/
RichardErkhov/algograp-Inc_-_algograpV4-gguf,algograp-Inc/algograpV4/
heartwise/DeepCoro,Algorithm
RichardErkhov/Ali-C137_-_Ge1H10M-0000-gguf,Ali-C137/Ge1H10M-0000/
RichardErkhov/Ali-C137_-_L2H10M-0000-gguf,Ali-C137/L2H10M-0000/
RichardErkhov/Ali-C137_-_L3H10M-0000-gguf,Ali-C137/L3H10M-0000/
RichardErkhov/Ali-C137_-_M03H10M-0000-gguf,Ali-C137/M03H10M-0000/
RichardErkhov/Ali-C137_-_Q15H10M-0000-gguf,Ali-C137/Q15H10M-0000/
RichardErkhov/Ali-C137_-_Q2H10M-0000-gguf,Ali-C137/Q2H10M-0000/
ilanaliouchouche/gte-base-lazy-teacher,Alibaba-NLP/gte-base-en-v1.5
louisbrulenaudet/lemone-embed-pro,Alibaba-NLP/gte-multilingual-base
gaianet/gte-Qwen1.5-7B-instruct-GGUF,Alibaba-NLP/gte-Qwen1.5-7B-instruct
RichardErkhov/Alibaba-NLP_-_gte-Qwen2-1.5B-instruct-gguf,Alibaba-NLP/gte-Qwen2-1.5B-instruct/
RichardErkhov/Alibaba-NLP_-_gte-Qwen2-1.5B-instruct-4bits,Alibaba-NLP/gte-Qwen2-1.5B-instruct/
RichardErkhov/Alibaba-NLP_-_gte-Qwen2-1.5B-instruct-8bits,Alibaba-NLP/gte-Qwen2-1.5B-instruct/
RichardErkhov/Alibaba-NLP_-_gte-Qwen2-7B-instruct-gguf,Alibaba-NLP/gte-Qwen2-7B-instruct/
RichardErkhov/Alibaba-NLP_-_gte-Qwen2-7B-instruct-4bits,Alibaba-NLP/gte-Qwen2-7B-instruct/
Kijai/CogVideoX-Fun-pruned,alibaba-pai/CogVideoX-Fun-5b-InP
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-v2-gguf,alibaba-pai/pai-bloom-1b1-text2prompt-sd-v2/
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-v2-8bits,alibaba-pai/pai-bloom-1b1-text2prompt-sd-v2/
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-v2-4bits,alibaba-pai/pai-bloom-1b1-text2prompt-sd-v2/
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-gguf,alibaba-pai/pai-bloom-1b1-text2prompt-sd/
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-4bits,alibaba-pai/pai-bloom-1b1-text2prompt-sd/
RichardErkhov/alibaba-pai_-_pai-bloom-1b1-text2prompt-sd-8bits,alibaba-pai/pai-bloom-1b1-text2prompt-sd/
RichardErkhov/alibaba-pai_-_pai-qwen1_5-0b5-doc2qa-awq,alibaba-pai/pai-qwen1_5-0b5-doc2qa/
RichardErkhov/alibaba-pai_-_pai-qwen1_5-0b5-doc2qa-gguf,alibaba-pai/pai-qwen1_5-0b5-doc2qa/
RichardErkhov/alibaba-pai_-_pai-qwen1_5-7b-doc2qa-gguf,alibaba-pai/pai-qwen1_5-7b-doc2qa/
RichardErkhov/alibaba-pai_-_Qwen2-7B-Instruct-Refine-gguf,alibaba-pai/Qwen2-7B-Instruct-Refine/
RichardErkhov/alibidaran_-_Gemma2_Farsi-awq,alibidaran/Gemma2_Farsi/
RichardErkhov/alibidaran_-_Gemma2_SQLGEN-awq,alibidaran/Gemma2_SQLGEN/
RichardErkhov/alibidaran_-_Gemma2_Virtual_doctor-awq,alibidaran/Gemma2_Virtual_doctor/
RichardErkhov/alibidaran_-_medical_transcription_generator-gguf,alibidaran/medical_transcription_generator/
RichardErkhov/alielfilali01_-_Ge1H10M-0000-gguf,alielfilali01/Ge1H10M-0000/
RichardErkhov/alielfilali01_-_L3H10M-0000-gguf,alielfilali01/L3H10M-0000/
RichardErkhov/alielfilali01_-_M03H10M-0000-gguf,alielfilali01/M03H10M-0000/
RichardErkhov/alielfilali01_-_PG7BB-gguf,alielfilali01/PG7BB/
RichardErkhov/alielfilali01_-_Q15H10M-0000-gguf,alielfilali01/Q15H10M-0000/
RichardErkhov/alielfilali01_-_Q2AW1M-0001-gguf,alielfilali01/Q2AW1M-0001/
RichardErkhov/alielfilali01_-_Q2AW1M-0010-gguf,alielfilali01/Q2AW1M-0010/
RichardErkhov/alielfilali01_-_Q2AW1M-0100-gguf,alielfilali01/Q2AW1M-0100/
RichardErkhov/alielfilali01_-_Q2AW1M-0111-gguf,alielfilali01/Q2AW1M-0111/
RichardErkhov/alielfilali01_-_Q2AW1M-1001-gguf,alielfilali01/Q2AW1M-1001/
RichardErkhov/alielfilali01_-_Q2AW1M-1010-gguf,alielfilali01/Q2AW1M-1010/
RichardErkhov/alielfilali01_-_Q2AW1M-1100-gguf,alielfilali01/Q2AW1M-1100/
RichardErkhov/alielfilali01_-_Q2AW1M-1111-gguf,alielfilali01/Q2AW1M-1111/
RichardErkhov/alielfilali01_-_Q2H10M-0000-gguf,alielfilali01/Q2H10M-0000/
RichardErkhov/aligner_-_aligner-7b-v1.0-gguf,aligner/aligner-7b-v1.0/
bartowski/zephyr-7b-dpo-full-exl2,alignment-handbook/zephyr-7b-dpo-full
RichardErkhov/alignment-handbook_-_zephyr-7b-dpo-full-4bits,alignment-handbook/zephyr-7b-dpo-full/
RichardErkhov/alignment-handbook_-_zephyr-7b-dpo-full-8bits,alignment-handbook/zephyr-7b-dpo-full/
RichardErkhov/alignment-handbook_-_zephyr-7b-dpo-full-gguf,alignment-handbook/zephyr-7b-dpo-full/
MaziyarPanahi/zephyr-7b-sft-full-GGUF,alignment-handbook/zephyr-7b-sft-full
LoneStriker/notus-7b-v1-6.0bpw-h6-exl2,alignment-handbook/zephyr-7b-sft-full
LoneStriker/notus-7b-v1-3.0bpw-h6-exl2,alignment-handbook/zephyr-7b-sft-full
LoneStriker/notus-7b-v1-5.0bpw-h6-exl2,alignment-handbook/zephyr-7b-sft-full
LoneStriker/notus-7b-v1-4.0bpw-h6-exl2,alignment-handbook/zephyr-7b-sft-full
LoneStriker/notus-7b-v1-8.0bpw-h8-exl2,alignment-handbook/zephyr-7b-sft-full
QuantFactory/notus-7b-v1-GGUF,alignment-handbook/zephyr-7b-sft-full
argilla/notus-7b-v1,alignment-handbook/zephyr-7b-sft-full
RichardErkhov/alignment-handbook_-_zephyr-7b-sft-full-8bits,alignment-handbook/zephyr-7b-sft-full/
RichardErkhov/alignment-handbook_-_zephyr-7b-sft-full-gguf,alignment-handbook/zephyr-7b-sft-full/
RichardErkhov/alignment-handbook_-_zephyr-7b-sft-full-4bits,alignment-handbook/zephyr-7b-sft-full/
RichardErkhov/AlignmentResearch_-_robust_llm_pythia-14m-pm-gen-ian-nd-gguf,AlignmentResearch/robust_llm_pythia-14m-pm-gen-ian-nd/
RichardErkhov/AliMaatouk_-_Gemma-2B-Tele-it-gguf,AliMaatouk/Gemma-2B-Tele-it/
RichardErkhov/AliMaatouk_-_Phi-1.5-Tele-gguf,AliMaatouk/Phi-1.5-Tele/
RichardErkhov/AliMaatouk_-_TinyLlama-1.1B-Tele-it-8bits,AliMaatouk/TinyLlama-1.1B-Tele-it/
RichardErkhov/AliMaatouk_-_TinyLlama-1.1B-Tele-it-4bits,AliMaatouk/TinyLlama-1.1B-Tele-it/
RichardErkhov/AliMaatouk_-_TinyLlama-1.1B-Tele-it-gguf,AliMaatouk/TinyLlama-1.1B-Tele-it/
RichardErkhov/AliMaatouk_-_TinyLlama-1.1B-Tele-gguf,AliMaatouk/TinyLlama-1.1B-Tele/
RichardErkhov/AliMaatouk_-_TinyLlama-1.1B-Tele-awq,AliMaatouk/TinyLlama-1.1B-Tele/
RichardErkhov/AliSaadatV_-_virus_pythia_410_1024_2d_representation_GaussianPlusCE-awq,AliSaadatV/virus_pythia_410_1024_2d_representation_GaussianPlusCE/
RichardErkhov/AliSaadatV_-_virus_pythia_410_1024_2d_representation_MSEPlusCE-awq,AliSaadatV/virus_pythia_410_1024_2d_representation_MSEPlusCE/
ndthai/ToRoLaMa-7B-GGUF,allbyai/ToRoLaMa-7b-v1.0
RichardErkhov/allen-eric_-_llama2-7b-chat-gguf,allen-eric/llama2-7b-chat/
TheBloke/digital-socrates-13B-AWQ,allenai/digital-socrates-13b
TheBloke/digital-socrates-13B-GPTQ,allenai/digital-socrates-13b
TheBloke/digital-socrates-13B-GGUF,allenai/digital-socrates-13b
TheBloke/digital-socrates-7B-AWQ,allenai/digital-socrates-7b
TheBloke/digital-socrates-7B-GPTQ,allenai/digital-socrates-7b
TheBloke/digital-socrates-7B-GGUF,allenai/digital-socrates-7b
allenai/llama-3-tulu-2-70b-uf-mean-rm,allenai/llama-3-tulu-2-70b
RichardErkhov/allenai_-_llama-3-tulu-2-70b-gguf,allenai/llama-3-tulu-2-70b/
allenai/llama-3-tulu-2-8b-uf-mean-rm,allenai/llama-3-tulu-2-8b
allenai/llama-3.1-tulu-2-70b-uf-mean-rm,allenai/llama-3.1-tulu-2-70b
allenai/llama-3.1-tulu-2-8b-uf-mean-rm,allenai/llama-3.1-tulu-2-8b
bartowski/Llama-3.1-Tulu-3-70B-GGUF,allenai/Llama-3.1-Tulu-3-70B
allenai/Llama-3.1-Tulu-3-70B-broken,allenai/Llama-3.1-Tulu-3-70B-DPO
bartowski/Llama-3.1-Tulu-3-70B-DPO-GGUF,allenai/Llama-3.1-Tulu-3-70B-DPO
Quant-Cartel/Llama-3.1-Tulu-3-70B-exl2-longcal,allenai/Llama-3.1-Tulu-3-70B-DPO
allenai/Llama-3.1-Tulu-3-70B,allenai/Llama-3.1-Tulu-3-70B-DPO
KnutJaegersberg/Llama-3.1-Tulu-3-70B-4.6bpw-exl2,allenai/Llama-3.1-Tulu-3-70B-DPO
bartowski/Llama-3.1-Tulu-3-70B-SFT-GGUF,allenai/Llama-3.1-Tulu-3-70B-SFT
allenai/Llama-3.1-Tulu-3-70B-DPO,allenai/Llama-3.1-Tulu-3-70B-SFT
bartowski/Llama-3.1-Tulu-3-8B-GGUF,allenai/Llama-3.1-Tulu-3-8B
bartowski/Llama-3.1-Tulu-3-8B-DPO-GGUF,allenai/Llama-3.1-Tulu-3-8B-DPO
QuantFactory/Llama-3.1-Tulu-3-8B-GGUF,allenai/Llama-3.1-Tulu-3-8B-DPO
allenai/Llama-3.1-Tulu-3-8B,allenai/Llama-3.1-Tulu-3-8B-DPO
unsloth/Llama-3.1-Tulu-3-8B-GGUF,allenai/Llama-3.1-Tulu-3-8B-DPO
unsloth/Llama-3.1-Tulu-3-70B,allenai/Llama-3.1-Tulu-3-8B-DPO
unsloth/Llama-3.1-Tulu-3-70B-GGUF,allenai/Llama-3.1-Tulu-3-8B-DPO
unsloth/Llama-3.1-Tulu-3-8B-bnb-4bit,allenai/Llama-3.1-Tulu-3-8B-DPO
unsloth/Llama-3.1-Tulu-3-70B-bnb-4bit,allenai/Llama-3.1-Tulu-3-8B-DPO
bartowski/Llama-3.1-Tulu-3-8B-SFT-GGUF,allenai/Llama-3.1-Tulu-3-8B-SFT
QuantFactory/Llama-3.1-Tulu-3-8B-DPO-GGUF,allenai/Llama-3.1-Tulu-3-8B-SFT
allenai/Llama-3.1-Tulu-3-8B-RM,allenai/Llama-3.1-Tulu-3-8B-SFT
allenai/Llama-3.1-Tulu-3-8B-DPO,allenai/Llama-3.1-Tulu-3-8B-SFT
lucyknada/allenai_Llama-3.1-Tulu-3-8B-DPO-exl2,allenai/Llama-3.1-Tulu-3-8B-SFT
RichardErkhov/allenai_-_OLMo-1.7-7B-hf-gguf,allenai/OLMo-1.7-7B-hf/
RichardErkhov/allenai_-_OLMo-1B-0724-hf-4bits,allenai/OLMo-1B-0724-hf/
RichardErkhov/allenai_-_OLMo-1B-0724-hf-8bits,allenai/OLMo-1B-0724-hf/
RichardErkhov/allenai_-_OLMo-1B-0724-hf-gguf,allenai/OLMo-1B-0724-hf/
RichardErkhov/allenai_-_OLMo-1B-hf-gguf,allenai/OLMo-1B-hf/
RichardErkhov/allenai_-_OLMo-1B-hf-8bits,allenai/OLMo-1B-hf/
RichardErkhov/allenai_-_OLMo-1B-hf-4bits,allenai/OLMo-1B-hf/
bartowski/OLMo-2-1124-13B-Instruct-GGUF,allenai/OLMo-2-1124-13B-Instruct
bartowski/OLMo-2-1124-7B-Instruct-GGUF,allenai/OLMo-2-1124-7B-Instruct
allenai/OLMo-2-1124-13B-SFT-Preview,allenai/OLMo-2-13B-1124
allenai/OLMo-2-1124-13B-SFT,allenai/OLMo-2-13B-1124
shanearora/i-am-a-good-big-instruct-model,allenai/OLMo-2-13B-1124-DPO
allenai/OLMo-2-1124-13B-Instruct-preview,allenai/OLMo-2-13B-1124-DPO
allenai/OLMo-2-1124-13B-Instruct,allenai/OLMo-2-13B-1124-RLVR2
allenai/OLMo-2-1124-13B-DPO-Preview,allenai/OLMo-2-13B-1124-SFT
allenai/OLMo-2-1124-13B-DPO,allenai/OLMo-2-13B-1124-SFT
allenai/OLMo-2-1124-13B-RM,allenai/OLMo-2-13B-1124-SFT
allenai/OLMo-2-1124-7B-SFT,allenai/OLMo-2-7B-1124
allenai/OLMo-2-1124-13B-Instruct-RLVR2,allenai/OLMo-2-7B-1124-DPO
allenai/OLMo-2-1124-7B-Instruct-preview,allenai/OLMo-2-7B-1124-DPO
allenai/OLMo-2-1124-7B-Instruct,allenai/OLMo-2-7B-1124-DPO
allenai/OLMo-2-1124-13B-Instruct-RLVR1,allenai/OLMo-2-7B-1124-DPO
allenai/OLMo-2-1124-7B-DPO-Preview,allenai/OLMo-2-7B-1124-SFT
allenai/OLMo-2-1124-7B-DPO,allenai/OLMo-2-7B-1124-SFT
allenai/OLMo-2-1124-7B-RM,allenai/OLMo-2-7B-1124-SFT
Mozilla/OLMo-7B-0424-llamafile,allenai/OLMo-7B-0424-hf
RichardErkhov/allenai_-_OLMo-7B-0424-hf-gguf,allenai/OLMo-7B-0424-hf/
RichardErkhov/allenai_-_OLMo-7B-0724-hf-gguf,allenai/OLMo-7B-0724-hf/
RichardErkhov/allenai_-_OLMo-7B-0724-Instruct-hf-gguf,allenai/OLMo-7B-0724-Instruct-hf/
RichardErkhov/allenai_-_OLMo-7B-0724-SFT-hf-gguf,allenai/OLMo-7B-0724-SFT-hf/
RichardErkhov/allenai_-_OLMo-7B-hf-gguf,allenai/OLMo-7B-hf/
RichardErkhov/allenai_-_OLMo-7B-Instruct-hf-gguf,allenai/OLMo-7B-Instruct-hf/
RichardErkhov/allenai_-_OLMo-7B-SFT-hf-gguf,allenai/OLMo-7B-SFT-hf/
RichardErkhov/allenai_-_OLMo-7B-Twin-2T-hf-gguf,allenai/OLMo-7B-Twin-2T-hf/
allenai/OLMo-2-1124-7B-SFT-Preview,allenai/OLMo2-7B-1124
allenai/OLMo-2-1124-7B-RM-Preview,allenai/OLMo2-7B-1124-SFT
bartowski/OLMoE-1B-7B-0924-Instruct-GGUF,allenai/OLMoE-1B-7B-0924-Instruct
RichardErkhov/allenai_-_OLMoE-1B-7B-0924-Instruct-gguf,allenai/OLMoE-1B-7B-0924-Instruct/
RichardErkhov/allenai_-_OLMoE-1B-7B-0924-gguf,allenai/OLMoE-1B-7B-0924/
interneuronai/az-alpacagpt,allenai/open-instruct-gpt4-alpaca-7b
TheBloke/open-instruct-human-mix-65B-GGUF,allenai/open-instruct-human-mix-65b
